"Sample","Original duration (ms)","Original size (KB)","Original sample rate (fps)","Bitrate (Kbit/s)","ACC compression time (ms)","ACC Comp Time / Orig dur","ACC size (KB)","ACC rate","ACC sample rate","ACC Bit Rate","Opus compression time (ms)","Opus Comp Time / Orig dur","Opus size (KB)","Opus rate","Opus sample rate","Opus Bit Rate"
"03_mezzosoprano","4255.102","366.880859375","44100","96","142","0.033371702958001945","51.830078125","7.078531861174963","44100","96349","144","0.03384172694332592","55.755859375","6.580131012015273","48000","107178"
"03_mezzosoprano","4255.102","366.880859375","44100","112","145","0.03407673893598791","60.150390625","6.099392797999805","44100","112281","171","0.04018705074519953","63.8515625","5.74583996084669","48000","122740"
"03_mezzosoprano","4255.102","366.880859375","44100","128","151","0.03548681089195982","68.404296875","5.363418325100648","44100","128085","153","0.03595683487728379","71.8427734375","5.106719045224081","48000","138101"
"03_mezzosoprano","4255.102","366.880859375","44100","160","157","0.03689688284793173","84.931640625","4.319719443486259","44100","159731","135","0.03172661900936805","87.802734375","4.178467356245134","48000","168781"
"03_mezzosoprano","4255.102","366.880859375","44100","192","154","0.036191846869945775","101.35546875","3.6197440937295258","44100","191179","138","0.03243165498735401","103.69140625","3.5381992842343193","48000","199324"
"03_mezzosoprano","4255.102","366.880859375","44100","224","156","0.03666187085526974","116.1455078125","3.1588036961987003","44100","219499","150","0.03525179889929783","119.669921875","3.0657733674984904","48000","230039"
"03_mezzosoprano","4255.102","366.880859375","44100","256","163","0.03830695480390364","119.5185546875","3.0696560909246897","44100","225957","169","0.03971702675987556","135.513671875","2.707334649698053","48000","260495"
"03_mezzosoprano","4255.102","366.880859375","44100","320","171","0.04018705074519953","119.7705078125","3.0631986628072894","44100","226440",,,,,,
"04_baritone","1838.98","158.7734375","44100","8","110","0.059815767436296206","2.9638671875","53.56968698517298","44100","8179","133","0.07232270062752177","2.1083984375","75.30523390458545","48000","9358"
"04_baritone","1838.98","158.7734375","44100","16","141","0.07667293825925241","4.9033203125","32.38080063732324","44100","16711","137","0.0744978194433871","4.748046875","33.43973673385438","48000","21076"
"04_baritone","1838.98","158.7734375","44100","24","153","0.08319829470684836","6.7783203125","23.423714162224464","44100","24959","153","0.08319829470684836","8.8388671875","17.96309800022097","48000","39234"
"04_baritone","1838.98","158.7734375","44100","32","146","0.07939183677908405","8.580078125","18.50489414978375","44100","32885","117","0.06362222536406051","11.00390625","14.42882499112531","48000","48845"
